epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3741,1.3975,3.09637,1.53503,0.00386,1,0.80553,0.50502,1.05208,19.3633,1.46978,0.00026,0.00026,0.00026
2,130.286,1.22607,2.40653,1.32449,0.00901,1,0.81049,0.50533,0.92509,18.3066,1.38652,0.000529308,0.000529308,0.000529308
3,195.201,1.23808,1.85275,1.35556,0.85892,0.25032,0.61697,0.41868,1.03052,18.1399,1.60857,0.000787528,0.000787528,0.000787528
4,259.677,1.29506,1.90803,1.40544,1,0.55398,0.74984,0.53329,2.46916,29.2241,3.37391,0.00103466,0.00103466,0.00103466
5,324.493,1.17181,1.69022,1.31692,0.91925,0.67123,0.82838,0.55311,1.90761,22.4551,2.74162,0.0012707,0.0012707,0.0012707
6,389.436,1.21613,1.65595,1.34452,0.63772,0.50685,0.51536,0.28688,1.99164,22.7662,2.46799,0.00149566,0.00149566,0.00149566
7,453.826,1.19555,1.59717,1.33733,0.99017,0.56164,0.75596,0.38408,1.3652,30.4007,1.97235,0.00170953,0.00170953,0.00170953
8,517.787,1.15666,1.46578,1.31406,0.58929,0.56164,0.57677,0.23717,1.69717,18.807,3.07257,0.0017228,0.0017228,0.0017228
9,582.018,1.18636,1.3399,1.33834,0.24773,0.72603,0.22124,0.08754,1.93894,35.0198,2.98622,0.0016832,0.0016832,0.0016832
10,646.035,1.15651,1.29809,1.31595,0.31997,0.61644,0.28556,0.13534,1.77559,49.4903,3.01614,0.0016436,0.0016436,0.0016436
11,709.952,1.13682,1.23215,1.29463,0.5394,0.71233,0.52149,0.32052,1.31017,32.2537,1.88847,0.001604,0.001604,0.001604
12,774.204,1.10363,1.19287,1.27685,0.6852,0.83488,0.76451,0.28856,1.80902,22.4561,3.06724,0.0015644,0.0015644,0.0015644
13,838.717,1.11399,1.1977,1.30049,0.69635,0.78541,0.83159,0.47045,1.30165,17.8979,2.10443,0.0015248,0.0015248,0.0015248
14,903.142,1.01582,1.06663,1.20364,0.94466,0.73973,0.84311,0.56003,2.05352,42.2524,2.4556,0.0014852,0.0014852,0.0014852
15,967.637,1.02001,1.04681,1.21949,0.81106,0.87671,0.89967,0.63085,1.85453,76.9888,2.36063,0.0014456,0.0014456,0.0014456
