epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1031.6,0.99746,0.96737,1.18977,0.8371,0.84478,0.88368,0.52096,1.20037,17.1116,1.60527,0.001406,0.001406,0.001406
17,1095.62,0.92341,0.91004,1.15894,0.95157,0.90411,0.95109,0.64045,0.94653,13.2918,1.35776,0.0013664,0.0013664,0.0013664
18,1160.31,0.93462,0.94635,1.17312,0.87015,0.90411,0.94775,0.66524,0.97266,11.2499,1.3231,0.0013268,0.0013268,0.0013268
19,1224.63,0.91239,0.89323,1.14371,0.94562,0.78082,0.94372,0.70127,0.90609,6.63091,1.5081,0.0012872,0.0012872,0.0012872
20,1288.94,0.89108,0.87458,1.13359,0.83236,0.88427,0.87139,0.6199,1.29387,12.1328,2.00163,0.0012476,0.0012476,0.0012476
21,1352.86,0.904,0.86,1.17468,0.76119,0.96061,0.86448,0.61045,1.33158,11.6696,2.12585,0.001208,0.001208,0.001208
22,1416.66,0.92204,0.85896,1.17273,0.83983,0.84932,0.88834,0.60487,1.04406,6.24939,1.42644,0.0011684,0.0011684,0.0011684
23,1480.8,0.85257,0.78574,1.12348,0.83241,0.88455,0.91543,0.56299,1.11149,6.14436,1.44061,0.0011288,0.0011288,0.0011288
24,1544.47,0.85034,0.76985,1.12347,0.76865,0.87671,0.81989,0.55407,1.4345,8.50204,1.95163,0.0010892,0.0010892,0.0010892
25,1608.68,0.83921,0.73687,1.10487,0.82449,0.9726,0.94482,0.71421,1.41983,8.09295,2.30766,0.0010496,0.0010496,0.0010496
26,1672.65,0.87967,0.77412,1.11276,0.78888,0.97253,0.88915,0.6619,1.4698,8.66086,2.71192,0.00101,0.00101,0.00101
27,1736.48,0.85699,0.70909,1.09219,0.72755,0.80822,0.73898,0.47081,1.67138,12.5159,3.18604,0.0009704,0.0009704,0.0009704
28,1800.93,0.80889,0.70817,1.09961,0.76537,0.98313,0.85481,0.57478,1.43744,12.3164,2.29942,0.0009308,0.0009308,0.0009308
29,1865.45,0.74619,0.64045,1.04062,0.98435,0.86187,0.96145,0.69015,1.41601,5.12943,1.937,0.0008912,0.0008912,0.0008912
30,1929.66,0.78443,0.69646,1.07793,0.93475,0.98117,0.98645,0.77115,1.67351,5.20963,2.55046,0.0008516,0.0008516,0.0008516
31,1994.6,0.71968,0.63239,1.04191,0.94868,0.84932,0.97002,0.80598,1.39262,6.44359,1.89724,0.000812,0.000812,0.000812
32,2058.76,0.68499,0.58781,1.02613,0.7732,0.94521,0.93756,0.76725,1.51007,6.4758,2.01752,0.0007724,0.0007724,0.0007724
33,2122.73,0.73934,0.6142,1.05758,0.73115,0.89411,0.90737,0.70714,1.64103,5.95732,2.00324,0.0007328,0.0007328,0.0007328
34,2186.68,0.69621,0.60527,1.02198,0.7999,0.9589,0.95155,0.76675,1.1572,7.18537,1.3892,0.0006932,0.0006932,0.0006932
35,2250.4,0.67797,0.59687,1.02549,0.80268,0.9863,0.93931,0.75085,0.86492,6.67213,1.25693,0.0006536,0.0006536,0.0006536
36,2315.04,0.69765,0.61919,1.03501,0.86835,0.93151,0.94115,0.73016,0.7557,5.04049,1.17541,0.000614,0.000614,0.000614
37,2379.07,0.6466,0.54792,1.00564,0.98454,0.87265,0.97594,0.81622,0.58674,3.98646,1.09232,0.0005744,0.0005744,0.0005744
38,2443.98,0.61876,0.54083,0.99052,0.90631,0.94521,0.97513,0.80951,0.56377,2.98951,1.04277,0.0005348,0.0005348,0.0005348
39,2509.13,0.63219,0.54579,0.9898,0.91372,0.93151,0.98225,0.79634,0.54549,3.75087,1.02219,0.0004952,0.0004952,0.0004952
40,2573.6,0.58361,0.50775,0.97412,0.97765,0.87671,0.98128,0.82959,0.46024,3.59521,1.01325,0.0004556,0.0004556,0.0004556
41,2637.78,0.57276,0.54754,0.96742,0.94335,0.91244,0.97577,0.83385,0.51969,4.10482,1.06938,0.000416,0.000416,0.000416
42,2702.01,0.52661,0.48991,0.92536,0.9169,0.90687,0.97715,0.82621,0.58149,3.43448,1.11052,0.0003764,0.0003764,0.0003764
43,2766.45,0.53021,0.47394,0.92885,0.85552,0.9726,0.97714,0.80657,0.61458,3.88668,1.10231,0.0003368,0.0003368,0.0003368
44,2830.74,0.52205,0.46908,0.93232,0.86367,0.9726,0.97488,0.81673,0.65408,4.37076,1.11167,0.0002972,0.0002972,0.0002972
45,2894.92,0.50485,0.45771,0.91277,0.87311,0.9589,0.96283,0.80513,0.68035,4.71423,1.14141,0.0002576,0.0002576,0.0002576
46,2959.81,0.49612,0.43351,0.91534,0.86537,0.96864,0.96901,0.80078,0.70736,4.30128,1.12147,0.000218,0.000218,0.000218
47,3024.15,0.48858,0.44854,0.92039,0.83756,0.9726,0.94977,0.7766,0.70224,4.87408,1.16347,0.0001784,0.0001784,0.0001784
48,3088.83,0.47961,0.44663,0.92255,0.83469,0.96838,0.93322,0.78465,0.66054,4.90867,1.168,0.0001388,0.0001388,0.0001388
49,3153.14,0.45661,0.42244,0.90431,0.84478,0.96924,0.94934,0.80991,0.6374,4.47336,1.14004,9.92e-05,9.92e-05,9.92e-05
50,3218.11,0.46006,0.41324,0.90434,0.86555,0.97012,0.96046,0.8172,0.61191,4.33547,1.1062,5.96e-05,5.96e-05,5.96e-05
