epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.766,1.43915,3.07753,1.44092,0.00437,0.76796,0.50971,0.27085,2.29785,26.1189,1.60025,0.0005,0.0005,0.0005
2,244.299,1.38854,2.20073,1.3669,0.61811,0.0359,0.15078,0.06317,2.45331,13.9219,2.72379,0.000999804,0.000999804,0.000999804
3,367.429,1.34506,1.86365,1.35751,0.46341,0.1547,0.15595,0.07495,2.76523,15.886,2.55536,0.00147902,0.00147902,0.00147902
4,490.977,1.34365,1.7342,1.35421,0.53577,0.22099,0.23056,0.10809,3.10328,10.7098,5.27498,0.0018812,0.0018812,0.0018812
5,614.624,1.34721,1.63228,1.3524,0.61316,0.42036,0.44012,0.19487,2.60409,18.5938,2.35214,0.0018416,0.0018416,0.0018416
6,738.374,1.30307,1.5001,1.32838,0.81212,0.55249,0.61091,0.32523,2.26686,10.8909,1.99224,0.001802,0.001802,0.001802
7,861.93,1.24342,1.3087,1.28912,0.52575,0.56906,0.46947,0.26675,2.21675,31.762,1.83116,0.0017624,0.0017624,0.0017624
8,985.346,1.23099,1.21541,1.26849,0.56075,0.58564,0.55928,0.36506,2.38805,46.4176,1.88144,0.0017228,0.0017228,0.0017228
9,1108.49,1.25987,1.23188,1.29037,0.87921,0.60221,0.676,0.3867,2.57167,10.0184,2.16287,0.0016832,0.0016832,0.0016832
10,1231.84,1.16219,1.10479,1.22578,0.8735,0.61039,0.68,0.43657,2.41533,7.22742,1.73204,0.0016436,0.0016436,0.0016436
11,1357.7,1.19078,1.05818,1.24256,0.5774,0.51381,0.48667,0.20245,2.52228,7.44957,1.88504,0.001604,0.001604,0.001604
12,1483.16,1.09033,0.99886,1.19506,0.90668,0.64414,0.71922,0.45902,2.19232,7.58351,1.70609,0.0015644,0.0015644,0.0015644
13,1605.45,1.0711,0.92068,1.16947,0.90578,0.58423,0.67801,0.39547,2.4824,4.88921,1.87982,0.0015248,0.0015248,0.0015248
14,1728.07,1.07228,0.92669,1.17968,0.87398,0.65193,0.69251,0.42705,2.43743,6.48858,1.9581,0.0014852,0.0014852,0.0014852
15,1850.45,1.04486,0.86444,1.15835,0.83175,0.43094,0.52991,0.34227,2.22428,5.04528,1.70863,0.0014456,0.0014456,0.0014456
16,1973.21,1.04663,0.86829,1.15821,0.80241,0.71796,0.70746,0.46838,2.01605,8.82355,1.54572,0.001406,0.001406,0.001406
17,2095.82,0.99675,0.81202,1.14719,0.84684,0.64148,0.71743,0.47259,2.23236,3.95007,1.57272,0.0013664,0.0013664,0.0013664
18,2219.16,0.94512,0.76233,1.10227,0.57343,0.50276,0.49792,0.30761,2.45362,4.22325,1.80048,0.0013268,0.0013268,0.0013268
