epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,2342.09,0.94008,0.75948,1.12294,0.53449,0.53039,0.51403,0.27962,2.19866,4.71247,1.64609,0.0012872,0.0012872,0.0012872
20,2464.45,0.94621,0.73789,1.10451,0.87909,0.64273,0.7181,0.46031,2.14036,3.35185,1.6532,0.0012476,0.0012476,0.0012476
21,2587.7,0.95262,0.7319,1.09203,0.81147,0.59116,0.65966,0.43404,2.15602,5.02231,1.77947,0.001208,0.001208,0.001208
22,2711.12,0.88195,0.67983,1.05693,0.74719,0.60417,0.62288,0.41465,2.1075,3.89776,1.56749,0.0011684,0.0011684,0.0011684
23,2835.11,0.93087,0.71247,1.10083,0.72078,0.62983,0.65726,0.42172,2.05305,4.50841,1.53054,0.0011288,0.0011288,0.0011288
24,2959.02,0.84237,0.64234,1.04795,0.82584,0.50829,0.62598,0.40443,2.12995,3.47713,1.62804,0.0010892,0.0010892,0.0010892
25,3083.35,0.86919,0.65403,1.06242,0.77641,0.49882,0.5406,0.38985,1.97721,3.56527,1.5708,0.0010496,0.0010496,0.0010496
26,3207.08,0.87036,0.64125,1.06699,0.81356,0.62682,0.69558,0.47464,2.07226,4.31862,1.56289,0.00101,0.00101,0.00101
27,3330.32,0.8481,0.6322,1.04116,0.80397,0.58915,0.66188,0.45878,2.11657,4.13789,1.53035,0.0009704,0.0009704,0.0009704
28,3454.18,0.83518,0.59795,1.02925,0.82948,0.60221,0.66544,0.4302,2.39423,5.49147,1.70946,0.0009308,0.0009308,0.0009308
29,3578.15,0.80394,0.58785,1.03892,0.89415,0.60671,0.6975,0.50196,2.05016,3.94078,1.45345,0.0008912,0.0008912,0.0008912
30,3701.86,0.83239,0.61547,1.04824,0.78498,0.63536,0.67462,0.48887,2.0814,4.29422,1.72197,0.0008516,0.0008516,0.0008516
31,3824.62,0.76572,0.59152,1.01651,0.89553,0.67956,0.72826,0.53921,2.07946,4.55244,1.81488,0.000812,0.000812,0.000812
32,3947.73,0.73127,0.53949,1.0116,0.94437,0.67403,0.74721,0.53105,2.34183,4.15685,1.81861,0.0007724,0.0007724,0.0007724
33,4071.02,0.74801,0.54648,0.9995,0.8246,0.7013,0.73215,0.53233,2.0639,3.85982,1.58856,0.0007328,0.0007328,0.0007328
34,4194.12,0.73132,0.53796,0.99299,0.84649,0.72376,0.7472,0.53709,1.94155,3.72522,1.67504,0.0006932,0.0006932,0.0006932
35,4317.52,0.77489,0.54712,1.01635,0.85277,0.75691,0.76371,0.50305,1.9834,3.15153,1.65418,0.0006536,0.0006536,0.0006536
36,4440.4,0.75777,0.53212,1.01021,0.93866,0.65193,0.75132,0.54429,2.18184,3.64931,1.87774,0.000614,0.000614,0.000614
37,4563.51,0.70216,0.50128,1.00208,0.84403,0.60221,0.69573,0.53579,2.13712,3.4874,1.88059,0.0005744,0.0005744,0.0005744
38,4687.06,0.66952,0.49337,0.96959,0.73329,0.69874,0.7199,0.52945,2.0584,3.29936,1.55209,0.0005348,0.0005348,0.0005348
39,4810.4,0.65756,0.48135,0.96517,0.8025,0.65193,0.71783,0.51171,2.07242,3.41033,1.69152,0.0004952,0.0004952,0.0004952
40,4933.14,0.64986,0.48797,0.96765,0.88071,0.69343,0.76027,0.57115,2.15889,4.07605,1.71038,0.0004556,0.0004556,0.0004556
41,5055.22,0.57297,0.43825,0.90574,0.89299,0.64549,0.73035,0.52559,2.08463,3.43707,1.50534,0.000416,0.000416,0.000416
42,5178.74,0.57805,0.42128,0.90716,0.92668,0.62843,0.71869,0.49315,2.03787,3.1584,1.47843,0.0003764,0.0003764,0.0003764
43,5300.5,0.54613,0.38649,0.89476,0.933,0.61549,0.72756,0.54191,1.83924,3.14181,1.43884,0.0003368,0.0003368,0.0003368
44,5423.58,0.52451,0.37135,0.88009,0.90619,0.64041,0.72973,0.52494,1.92463,3.54793,1.48975,0.0002972,0.0002972,0.0002972
45,5546.97,0.50039,0.35866,0.87171,0.94171,0.62485,0.7294,0.53532,2.17099,3.96368,1.5682,0.0002576,0.0002576,0.0002576
46,5670.49,0.51508,0.37525,0.89179,0.94411,0.64088,0.73347,0.5601,2.15932,3.74152,1.59724,0.000218,0.000218,0.000218
47,5794.02,0.4884,0.3552,0.86761,0.95447,0.63536,0.73421,0.55604,2.15515,3.82048,1.57754,0.0001784,0.0001784,0.0001784
48,5917.96,0.48026,0.35248,0.86581,0.89958,0.66298,0.7372,0.55666,2.132,3.93685,1.60174,0.0001388,0.0001388,0.0001388
49,6041.14,0.45628,0.33851,0.86059,0.91797,0.63536,0.73099,0.54008,2.12856,4.14761,1.62878,9.92e-05,9.92e-05,9.92e-05
50,6163.97,0.45486,0.33558,0.86493,0.90505,0.62983,0.73022,0.55595,2.11397,4.09508,1.62903,5.96e-05,5.96e-05,5.96e-05
