epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.8505,1.4159,3.12011,1.44316,0.00545,1,0.80126,0.51851,0.6877,10.5588,1.04145,0.0004,0.0004,0.0004
2,191.845,1.29926,2.11399,1.31076,0.83107,0.4601,0.74661,0.41716,1.75937,18.1807,2.24719,0.000803764,0.000803764,0.000803764
3,288.145,1.28376,1.83867,1.3395,0.62947,0.61109,0.54792,0.31882,1.80233,21.5836,2.29017,0.0011909,0.0011909,0.0011909
4,384.896,1.27835,1.65858,1.29928,0.66026,0.69784,0.70016,0.33196,1.97777,17.8889,3.37429,0.0015614,0.0015614,0.0015614
5,481.191,1.24919,1.60144,1.32712,0.65482,0.58686,0.69317,0.40229,1.97097,94.3537,2.29168,0.0018416,0.0018416,0.0018416
6,577.62,1.22216,1.44654,1.30091,0.16008,0.05755,0.02384,0.01071,3.14837,27.7516,3.74722,0.001802,0.001802,0.001802
7,674.011,1.22611,1.39922,1.32592,0.0844,0.32374,0.05505,0.02358,2.16914,16.2429,2.69212,0.0017624,0.0017624,0.0017624
8,770.42,1.13991,1.23967,1.26984,0.53289,0.52518,0.50974,0.27518,1.89598,13.2676,2.12934,0.0017228,0.0017228,0.0017228
9,867.047,1.16264,1.16845,1.26484,0.43996,0.39568,0.34828,0.17375,2.78937,19.2917,2.67931,0.0016832,0.0016832,0.0016832
10,963.284,1.14429,1.14555,1.25219,0.85685,0.59712,0.73573,0.40522,1.34684,11.9357,1.84,0.0016436,0.0016436,0.0016436
11,1060.01,1.05361,1.04009,1.21085,0.47789,0.52518,0.46363,0.23694,1.7215,38.8756,1.93047,0.001604,0.001604,0.001604
12,1156.22,1.03112,1.00124,1.17614,0.82193,0.79856,0.81394,0.43964,1.37756,12.6183,1.77534,0.0015644,0.0015644,0.0015644
13,1253.18,1.08682,1.02174,1.20826,0.84816,0.78417,0.87703,0.57335,1.43064,7.50291,2.00383,0.0015248,0.0015248,0.0015248
14,1349.95,1.02225,0.91417,1.13991,0.89082,0.8218,0.9121,0.5512,1.96682,7.76348,2.18105,0.0014852,0.0014852,0.0014852
15,1446.58,0.97418,0.86457,1.13794,0.97346,0.79172,0.91567,0.61801,1.58191,8.33335,1.87773,0.0014456,0.0014456,0.0014456
16,1543.57,0.98939,0.86417,1.14961,0.83691,0.8777,0.92441,0.52378,1.30515,6.8393,1.76182,0.001406,0.001406,0.001406
17,1639.93,0.95649,0.81043,1.12759,0.76906,0.7906,0.83325,0.46705,1.61499,8.49153,2.10298,0.0013664,0.0013664,0.0013664
18,1736.21,0.96287,0.85405,1.1438,0.91973,0.90672,0.96586,0.61002,1.27685,6.64607,1.54457,0.0013268,0.0013268,0.0013268
