epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,383.362,0.82768,1.83425,1.1999,0.00489,0.65,0.03815,0.01623,2.11825,4.59967,2.95104,0.00114778,0.00114778,0.00114778
18,406.035,0.73253,1.70301,1.17423,0.10018,0.3,0.06686,0.02291,2.23767,4.40945,3.39787,0.00118085,0.00118085,0.00118085
19,428.606,0.80938,1.71904,1.20466,0.21214,0.35,0.14749,0.04454,2.24527,4.49714,3.31177,0.00120997,0.00120997,0.00120997
20,451.283,0.93015,1.98937,1.21807,0.09132,0.2,0.06017,0.0115,2.80096,4.46136,4.17927,0.00123512,0.00123512,0.00123512
21,473.91,0.87944,1.99856,1.23688,0.05364,0.2,0.04346,0.00592,3.29426,4.46179,5.3488,0.001208,0.001208,0.001208
22,496.577,0.89969,1.82721,1.32522,0.0425,0.05,0.01406,0.00181,3.54731,5.2316,6.05937,0.0011684,0.0011684,0.0011684
23,519.179,0.93918,1.76561,1.3094,0.20208,0.2915,0.0845,0.01317,3.25828,4.78541,5.12444,0.0011288,0.0011288,0.0011288
24,541.886,0.79215,1.76218,1.16916,0.19476,0.1,0.06019,0.01196,2.93731,5.19816,4.31052,0.0010892,0.0010892,0.0010892
25,564.53,0.77507,1.51676,1.16984,0.30123,0.25,0.2082,0.03516,2.96887,4.21673,4.24536,0.0010496,0.0010496,0.0010496
26,587.107,0.77926,1.60406,1.24665,0.35041,0.25,0.18519,0.04621,2.9721,3.93736,4.23208,0.00101,0.00101,0.00101
27,609.715,0.71688,1.50778,1.15795,0.82434,0.3,0.39811,0.08227,3.00993,3.792,4.28582,0.0009704,0.0009704,0.0009704
28,632.273,0.73791,1.31156,1.15382,0.64096,0.45,0.48108,0.15017,2.64572,3.3498,3.74225,0.0009308,0.0009308,0.0009308
29,654.869,0.7572,1.44538,1.2149,0.69072,0.45,0.48967,0.144,2.60602,3.04556,3.5067,0.0008912,0.0008912,0.0008912
30,677.471,0.7488,1.42949,1.18945,0.45892,0.5,0.36088,0.10656,2.60875,3.19622,3.25309,0.0008516,0.0008516,0.0008516
31,699.869,0.7049,1.52011,1.15381,0.27547,0.4,0.24347,0.06874,2.59922,3.30603,3.14726,0.000812,0.000812,0.000812
32,722.361,0.68946,1.48328,1.10946,0.33044,0.45,0.32816,0.06624,2.86364,3.28304,3.42966,0.0007724,0.0007724,0.0007724
33,744.979,0.73794,1.30176,1.16927,0.46214,0.3,0.34912,0.07982,2.95562,3.3006,3.52399,0.0007328,0.0007328,0.0007328
34,767.549,0.61954,1.37106,1.07109,0.58111,0.2,0.23279,0.06591,2.98084,3.4649,3.55559,0.0006932,0.0006932,0.0006932
35,790.146,0.66729,1.21458,1.13052,0.54847,0.2,0.21676,0.08678,2.88905,3.37898,3.36402,0.0006536,0.0006536,0.0006536
36,812.781,0.68413,1.11239,1.13662,0.30449,0.2,0.1956,0.03958,3.03738,3.67363,3.32781,0.000614,0.000614,0.000614
37,835.281,0.70034,1.09635,1.06731,0.24181,0.25,0.18926,0.06032,3.09777,3.63822,3.25598,0.0005744,0.0005744,0.0005744
38,857.909,0.6337,1.10985,1.09075,0.57132,0.19992,0.20773,0.07387,3.08449,3.64712,3.22632,0.0005348,0.0005348,0.0005348
39,880.47,0.63912,1.20038,1.07515,0.38008,0.25,0.20437,0.07183,3.08062,3.5725,3.27532,0.0004952,0.0004952,0.0004952
40,903.222,0.65999,1.33886,1.19,0.96444,0.1,0.13369,0.04029,3.47554,3.90417,3.58899,0.0004556,0.0004556,0.0004556
41,925.855,0.47792,1.71991,0.98598,0.9334,0.1,0.115,0.0331,3.57382,4.21434,3.61662,0.000416,0.000416,0.000416
42,948.523,0.5539,2.40763,1.07491,0.76468,0.1,0.10704,0.03656,3.49444,4.25185,3.58397,0.0003764,0.0003764,0.0003764
43,971.085,0.51162,1.81716,1.10216,0.45207,0.1,0.09239,0.0269,3.45982,4.14814,3.55994,0.0003368,0.0003368,0.0003368
44,993.646,0.48161,1.80987,0.98652,0.40783,0.25,0.22111,0.0342,3.31943,3.55851,3.7152,0.0002972,0.0002972,0.0002972
45,1016.34,0.50141,2.07492,1.11866,0.36913,0.25,0.27884,0.05507,3.17792,3.34035,3.71026,0.0002576,0.0002576,0.0002576
46,1038.94,0.43631,1.68766,0.97759,0.5955,0.35,0.35073,0.07346,3.0534,3.26995,3.66766,0.000218,0.000218,0.000218
47,1061.51,0.39098,1.80063,0.97458,0.77437,0.35,0.40578,0.08643,2.96232,3.04649,3.67201,0.0001784,0.0001784,0.0001784
48,1084.12,0.41497,1.57525,1.04298,0.74475,0.43845,0.50597,0.10683,2.94842,2.95234,3.7505,0.0001388,0.0001388,0.0001388
49,1106.69,0.33342,1.47136,1.00142,0.98156,0.4,0.47899,0.09934,2.93639,2.90385,3.76631,9.92e-05,9.92e-05,9.92e-05
50,1129.33,0.39825,1.47535,0.96123,0.9853,0.4,0.4994,0.10461,2.89233,2.85679,3.71938,5.96e-05,5.96e-05,5.96e-05
