epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0174,1.02394,3.93876,1.44453,0.00217,0.65,0.00864,0.00504,1.12191,3.84037,1.41329,8e-05,8e-05,8e-05
2,45.2362,0.68468,3.44963,1.15102,0.00233,0.7,0.25,0.13956,1.05609,3.77941,1.3824,0.000176436,0.000176436,0.000176436
3,67.5169,0.66152,3.02214,1.18342,0.00217,0.65,0.12722,0.07711,1.6652,4.2021,1.69659,0.000268912,0.000268912,0.000268912
4,89.8126,0.61253,2.24794,1.12123,0.00183,0.55,0.02271,0.00988,2.53469,4.78849,2.37711,0.000357428,0.000357428,0.000357428
5,112.166,0.76876,2.35453,1.19977,0.002,0.6,0.03212,0.00879,3.0883,5.30035,2.75864,0.000441984,0.000441984,0.000441984
6,134.587,0.88983,2.46515,1.24748,0.00167,0.5,0.01203,0.00375,3.3454,5.39122,2.9527,0.00052258,0.00052258,0.00052258
7,157.184,0.81537,2.29853,1.26315,0.002,0.6,0.17029,0.05196,2.82486,4.84202,3.25206,0.000599216,0.000599216,0.000599216
8,179.791,0.73423,2.59252,1.17256,0.00183,0.55,0.18887,0.04609,2.9294,4.86182,3.68465,0.000671892,0.000671892,0.000671892
9,202.485,0.7747,1.98056,1.16488,0.00167,0.5,0.2854,0.08324,3.23369,4.61368,4.35379,0.000740608,0.000740608,0.000740608
10,225.121,0.9756,2.25645,1.3703,0.002,0.6,0.23031,0.06271,2.65785,4.65488,3.92213,0.000805364,0.000805364,0.000805364
11,247.679,0.91713,2.86307,1.32285,0.11436,0.65,0.33397,0.0992,2.11311,4.40375,3.08969,0.00086616,0.00086616,0.00086616
12,270.324,0.86485,2.24081,1.25555,0.25485,0.22302,0.18213,0.03705,2.80356,4.4387,4.78545,0.000922996,0.000922996,0.000922996
13,292.943,0.83408,2.32537,1.30506,0.45215,0.2,0.25918,0.06548,2.44713,4.27941,4.11928,0.000975872,0.000975872,0.000975872
14,315.598,0.86973,2.03049,1.24407,0.33117,0.55,0.47788,0.11799,2.4625,4.18378,3.03025,0.00102479,0.00102479,0.00102479
15,338.227,0.74622,1.88267,1.22491,0.0015,0.45,0.01975,0.00446,3.38009,5.38998,3.9386,0.00106974,0.00106974,0.00106974
16,360.814,0.95151,2.30828,1.42268,0.00033,0.1,0.00018,2e-05,4.35804,7.86815,4.54521,0.00111074,0.00111074,0.00111074
